qubit,T1_us,T1_err_us,T2_us,T2_err_us
67,256.27634178706097,11.068491105478321,105.02380026014357,3.907408306658829
68,139.86169446902076,2.976726942631249,12.192982686263262,1.808321791160122
69,140.3782083908048,3.2331633652797414,67.6833782826353,2.8959029861067394
70,194.62655917426886,8.987472483908737,22.999090042608163,2.8437104647733054
71,138.6195232047369,3.2397186367421718,140.68667569754876,5.66231743906612
72,127.27254049827852,2.683589263749742,40.418241544298695,2.18220028112748
73,179.3257385508149,5.514757826484303,206.4005926278185,8.875589477257378
74,105.33741293470388,1.7135039728018695,14.524408366411727,1.961242402045901
75,252.0349781393955,10.738771363383133,250.7198929322365,11.418989303960894
76,146.64580403331428,3.239633133558322,53.79948737051714,2.4471399399828737
77,211.36702192821684,7.208260542962115,186.69999732573996,7.30522591785385
78,75.21372717259364,1.239400630322092,88.44993278382374,3.4650673234365743
79,135.3690663765995,2.540152161311168,38.55103419132899,2.0220439164645554
80,165.82585307027105,4.192185933302318,41.02492475273467,2.241199119527911
81,200.48101058353433,6.418674558700684,122.14555237939577,4.534838107521123
82,-2639246.800721268,499882991.5070066,28.556875344579428,4.7044099791507445
83,248.20193483794083,19.07468793634992,335.8331190176824,33.86225438318049
84,244.36641675906154,10.358613636995925,110.60851038006129,4.218887645166356
85,194.49803573668927,5.9803139787034,133.164002852296,5.228519256384292
86,240.68053262028786,9.873906216622236,63.969869038558,2.733560035312132
87,243.40137884720667,9.789031456324127,166.05359612398826,6.372857973068662
88,202.6085606655045,9.166209533830424,219.17269107507633,12.07125098209096
89,288.38955154905403,14.307389264369474,293.7521586273641,13.319192072089884
90,163.12443899667932,3.9533913407604286,93.39862630103258,3.528402155201415
91,155.07239513367756,3.634431036931055,237.9740736564109,10.652733064453317
92,203.15043192746043,6.337265144234545,216.4064726144264,8.83683823099447
93,283.74516986373857,14.354607977364312,283.1547358835642,12.838476319585343
94,368.600550400841,25.139841229788804,151.99461367254472,5.644901513482177
95,461.85215786860863,42.67046574274913,478.35280563639145,27.90792756512653
96,124.49856678226881,2.4276044898642044,50.70115006811304,2.482879392972501
97,182.62694960358277,4.94765376878567,79.97503813938764,3.2103142966541673
98,306.12091274716875,16.530532789638894,64.90526472541775,2.7112539701288245
99,154.53415251855273,3.5308047438118173,30.320532326722848,1.8376494020939398
100,102.4171865530119,1.6018384806154033,198.9879933570733,8.021717326147977
101,139.69690705985943,2.879468072686751,61.8743450701761,2.5859979311310997
102,94.97321032409421,2.1050406664281316,73.54427703625863,3.4329671051966204
103,104.96988577885642,2.517825206259363,96.8373106351042,4.284324119892383
104,107.89167180624844,1.7968813979430096,113.91810353760668,4.157056162046773
105,162.72931706510175,4.2365936930051165,158.23236809260516,6.52513680895742
106,328.95009704105587,24.16768368925812,276.1551188868237,14.455481764966505
107,346.6371171899237,22.464398665665627,357.7679629063292,17.597471164036115
108,242.46522845983606,9.75984656676769,231.53900509005,9.797551530451702
109,210.41307866881525,6.707167804109248,130.61440446314793,5.066010221519856
110,208.90423847023558,7.363743613216809,329.01621556313984,16.232487117122297
111,198.31090294767824,6.088902934821704,78.0663146486133,3.0123944215864182
